website;email;city;category
https://wwwbar.de/numau/;info@nails.com;Braga;
https://www.wotsocial.com/unidades/wot-patio/;lisbonpatio@wotels.com;;Hostel
https://www.wotsocial.com/unidades/wot-nomad/;nomad@wotels.com;;Hostel
https://www.wotsocial.com/unidades/wot-new-lisbon/;newlisbon@wotels.com;;Hostel
https://www.vipsuitesmarqueshotel.com/%3Fpartner%3D8189%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DMyBusiness;suitesdomarques@viphotels.com;;
https://www.vipedenaparthotel.com/en/%3Fpartner%3D8189utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DMyBusiness%26utm;res.eden@viphotels.com;Lisbon;Hotel
https://www.villagarden.pt/;booking@villagarden.pt;BRAGA;Organization
https://www.vilagale.com/pt-pt/hoteis-portugal/hoteis-porto-e-norte/vila-gale-collection-braga/;braga@vilagale.com;Porto e Norte;Hotel
https://www.the-bridge-travel.com/;thebridgelisbon@gmail.com;Belém;
https://www.theartinnlisbon.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic;lisbon@theartinn.com;Lisbon;Hotel
https://www.terrocollection.com/;booking@maarlab.com;Braga;Hotel
https://www.tabernadopaco.pt/;tabernadopaco@souand.pt;;
https://www.sutdesign.com/;welcome@sutrooms.com;Braga;
https://www.shiadu.com/en/tesouro-baixa/;info@shiadu.com;Lisbon;Organization
https://www.setecolinas.com.pt/;reservas@setecolinas.com.pt;Lisbon;Hotel
https://www.safestay.com/venue/safestay-lisbon-bairro-alto/;groups@safestay.com;Lisboa;Hostel
https://www.restaurantediana.com/;info@restaurantediana.com;Braga;
https://www.pousadasjuventude.pt/pt/pousadas/pousada-de-braga/;cjb@investbraga.com;Braga;
https://www.portobay.com/en/hotels/lisbon-hotels/portobay-liberdade/;liberdade@portobay.pt;;Hotel
https://www.portanovach.pt/restaurante-bar/;reservas@portanovach.pt;Braga;
https://www.pensaopracadafigueira.com/;pensaofigueira@clix.pt;Lisboa;
